gutenberg_id,text,title,author
27062,"    _(Książę z orszakiem wychodzi; podobnież Kapulet, pani Kapulet,",Romeo I Julia,ShakespearePaszkowski
27062,"      Tybalt, obywatele i słudzy)._",Romeo I Julia,ShakespearePaszkowski
27062,"*Monteki.* Kto wszczął tę nową zwadę? Mów, synowcze,",Romeo I Julia,ShakespearePaszkowski
27062,"Byłżeś tu wtedy, gdy się to zaczęło?",Romeo I Julia,ShakespearePaszkowski
27062,*Benwolio.* Nieprzyjaciela naszego pachołcy,Romeo I Julia,ShakespearePaszkowski
27062,"I wasi już się bili, kiedym nadszedł;",Romeo I Julia,ShakespearePaszkowski
27062,"Dobyłem broni, aby ich rozdzielić:",Romeo I Julia,ShakespearePaszkowski
27062,"Wtem wpadł szalony Tybalt z gołym mieczem,",Romeo I Julia,ShakespearePaszkowski
27062,"I harde zionąc mi w uszy wyzwanie,",Romeo I Julia,ShakespearePaszkowski
27062,"Jął się wywijać nim i siec powietrze,",Romeo I Julia,ShakespearePaszkowski
27062,"Które świszczało tylko, szydząc z marnych",Romeo I Julia,ShakespearePaszkowski
27062,Jego zamachów. Gdyśmy tak ze sobą,Romeo I Julia,ShakespearePaszkowski
27062,"Cięcia i pchnięcia zamieniali, zbiegł się",Romeo I Julia,ShakespearePaszkowski
27062,"Większy tłum ludzi, z obu stron walczono,",Romeo I Julia,ShakespearePaszkowski
27062,Aż książę nadszedł i rozdzielił wszystkich.,Romeo I Julia,ShakespearePaszkowski
27062,*Pani Monteki.* Lecz gdzież Romeo? Widziałżeś go dzisiaj?,Romeo I Julia,ShakespearePaszkowski
27062,"Jakże się cieszę, że nie był w tem starciu.",Romeo I Julia,ShakespearePaszkowski
27062,"*Benwolio.* Godziną pierwej, nim wspaniałe słońce",Romeo I Julia,ShakespearePaszkowski
27062,"W złotych się oknach wschodu ukazało,",Romeo I Julia,ShakespearePaszkowski
27062,Troski wygnały mię z dala od domu,Romeo I Julia,ShakespearePaszkowski
27062,"W sykomorowy ów gaj, co się ciągnie",Romeo I Julia,ShakespearePaszkowski
27062,Ku południowi od naszego miasta.,Romeo I Julia,ShakespearePaszkowski
27062,"Tam, już tak rano, syn wasz się przechadzał.",Romeo I Julia,ShakespearePaszkowski
27062,"Ledwiem go ujrzał, pobiegłem ku niemu;",Romeo I Julia,ShakespearePaszkowski
27062,"Lecz on, spostrzegłszy mię, skręcił natychmiast,",Romeo I Julia,ShakespearePaszkowski
27062,I w najciemniejszej ukrył się gęstwinie.,Romeo I Julia,ShakespearePaszkowski
27062,Pociąg ten jego do odosobnienia,Romeo I Julia,ShakespearePaszkowski
27062,"Mierząc mym własnym, (serce nasze bowiem",Romeo I Julia,ShakespearePaszkowski
27062,"Jest najczynniejsze, kiedyśmy samotni)",Romeo I Julia,ShakespearePaszkowski
27062,Nie przeszkadzałem mu w jego dumaniach,Romeo I Julia,ShakespearePaszkowski
27062,"I w inną stronę się udałem, chętnie",Romeo I Julia,ShakespearePaszkowski
27062,"Stroniąc od tego, co rad mnie unikał.",Romeo I Julia,ShakespearePaszkowski
27062,*Monteki.* Nieraz o świcie już go tam widziano,Romeo I Julia,ShakespearePaszkowski
27062,"Łzami poranną mnożącego rosę,",Romeo I Julia,ShakespearePaszkowski
27062,A chmury swego oblicza chmurami.,Romeo I Julia,ShakespearePaszkowski
27062,"Aliści, ledwo na najdalszym wschodzie",Romeo I Julia,ShakespearePaszkowski
27062,Wesołe słońce z przed łoża Aurory,Romeo I Julia,ShakespearePaszkowski
27062,"Zaczęło ściągać cienistą kotarę,",Romeo I Julia,ShakespearePaszkowski
27062,"On, uciekając od widoku światła,",Romeo I Julia,ShakespearePaszkowski
27062,"Co tchu zamykał się w swoim pokoju,",Romeo I Julia,ShakespearePaszkowski
27062,Zasłaniał okna przed jasnym dnia blaskiem,Romeo I Julia,ShakespearePaszkowski
27062,I sztuczną sobie ciemnicę utwarzał.,Romeo I Julia,ShakespearePaszkowski
27062,"W czarne bezdroże dusza jego zajdzie,",Romeo I Julia,ShakespearePaszkowski
27062,Jeśli się na to lekarstwo nie znajdzie.,Romeo I Julia,ShakespearePaszkowski
27062,"*Benwolio.* Szanowny stryju, znaszże powód tego?",Romeo I Julia,ShakespearePaszkowski
27062,*Monteki.* Nie znam i z niego wydobyć nie mogę.,Romeo I Julia,ShakespearePaszkowski
27062,*Benwolio.* Wybadywałżeś go jakim sposobem?,Romeo I Julia,ShakespearePaszkowski
27062,"*Monteki.* Wybadywałem i sam, i przez drugich:",Romeo I Julia,ShakespearePaszkowski
27062,"Lecz on, jedyny powiernik swych smutków,",Romeo I Julia,ShakespearePaszkowski
27062,"Tak im jest wierny, tak zamknięty w sobie,",Romeo I Julia,ShakespearePaszkowski
27062,"Od otwartości wszelkiej tak daleki,",Romeo I Julia,ShakespearePaszkowski
27062,"Jak pączek kwiatu, co go robak gryzie,",Romeo I Julia,ShakespearePaszkowski
27062,Nim światu wonny swój kielich roztoczył,Romeo I Julia,ShakespearePaszkowski
27062,I pełność swoją rozwinął przed słońcem.,Romeo I Julia,ShakespearePaszkowski
27062,"Gdybyśmy mogli dojść tych trosk zarodka,",Romeo I Julia,ShakespearePaszkowski
27062,Nie zbrakłoby nam zaradczego środka.,Romeo I Julia,ShakespearePaszkowski
27062,    _(Romeo ukazuje się w głębi)._,Romeo I Julia,ShakespearePaszkowski
27062,*Benwolio.* Oto nadchodzi. Odstąpcie na stronę:,Romeo I Julia,ShakespearePaszkowski
27062,Wyrwę mu z piersi cierpienia tajone.,Romeo I Julia,ShakespearePaszkowski
27062,"*Monteki.* Obyś w tej sprawie, co nam serce rani,",Romeo I Julia,ShakespearePaszkowski
27062,"Mógł być szczęśliwszym od nas! Pójdźmy, pani.",Romeo I Julia,ShakespearePaszkowski
27062,    _(Wychodzą: Monteki i pani Monteki)._,Romeo I Julia,ShakespearePaszkowski
27062,"*Benwolio.* Dzień dobry, bracie.",Romeo I Julia,ShakespearePaszkowski
27062,*Romeo.*                         Jeszczeż nie południe?,Romeo I Julia,ShakespearePaszkowski
27062,*Benwolio.* Dziewiąta biła dopiero.,Romeo I Julia,ShakespearePaszkowski
27062,*Romeo.*                            Jak nudnie,Romeo I Julia,ShakespearePaszkowski
27062,Wloką się chwile! Moiż-to rodzice,Romeo I Julia,ShakespearePaszkowski
27062,Tak spiesznie w tamtą zboczyli ulicę?,Romeo I Julia,ShakespearePaszkowski
27062,*Benwolio.* Tak jest. Lecz cóż tak chwile twoje dłuży?,Romeo I Julia,ShakespearePaszkowski
27062,"*Romeo.* Nieposiadanie tego, co je skraca.",Romeo I Julia,ShakespearePaszkowski
27062,*Benwolio.* Miłość więc?,Romeo I Julia,ShakespearePaszkowski
27062,*Romeo.*                 Brak jej.,Romeo I Julia,ShakespearePaszkowski
27062,*Benwolio.* Jakto? brak miłości?,Romeo I Julia,ShakespearePaszkowski
27062,"*Romeo.* Brak jej tam, skądbym pragnął wzajemności.",Romeo I Julia,ShakespearePaszkowski
27062,"*Benwolio.* Niestety! Czemuż, zdając się niebianką,",Romeo I Julia,ShakespearePaszkowski
27062,Miłość jest w gruncie tak srogą tyranką?,Romeo I Julia,ShakespearePaszkowski
27062,"*Romeo.* Niestety! Czemuż z zasłoną na skroni,",Romeo I Julia,ShakespearePaszkowski
27062,Miłość na oślep zawsze cel swój goni!,Romeo I Julia,ShakespearePaszkowski
27062,Gdzież dziś jeść będziem? Ach! Był tu podobno,Romeo I Julia,ShakespearePaszkowski
27062,"Jakiś spór? Nie mów mi o nim, wiem wszystko.",Romeo I Julia,ShakespearePaszkowski
27062,"W grze tu nienawiść wielka, lecz i miłość.",Romeo I Julia,ShakespearePaszkowski
27062,O! wy sprzeczności niepojęte dziwa:,Romeo I Julia,ShakespearePaszkowski
27062,Szorstka miłości! nienawiści tkliwa!,Romeo I Julia,ShakespearePaszkowski
27062,Coś narodzone z niczego! Pieszczoto,Romeo I Julia,ShakespearePaszkowski
27062,Odpychająca! Poważna pustoto!,Romeo I Julia,ShakespearePaszkowski
27062,Szpetny chaosie wdzięków! Ciężki puchu!,Romeo I Julia,ShakespearePaszkowski
27062,Jasna mgło! Zimny żarze! Martwy ruchu!,Romeo I Julia,ShakespearePaszkowski
27062,"Śnie bez snu! Taką-to w sobie zawiłość,",Romeo I Julia,ShakespearePaszkowski
27062,Taką niełączność łączy moja miłość.,Romeo I Julia,ShakespearePaszkowski
27062,Czy się nie śmiejesz?,Romeo I Julia,ShakespearePaszkowski
27062,"*Benwolio.*           Nie, płakałbym raczej.",Romeo I Julia,ShakespearePaszkowski
27062,"*Romeo.* Nad czem, poczciwa duszo?",Romeo I Julia,ShakespearePaszkowski
27062,*Benwolio.*                        Nad uciskiem,Romeo I Julia,ShakespearePaszkowski
27062,Poczciwej duszy twojej.,Romeo I Julia,ShakespearePaszkowski
27062,*Romeo.*                A więc strzała,Romeo I Julia,ShakespearePaszkowski
27062,Miłości nawet przez odbitkę działa?,Romeo I Julia,ShakespearePaszkowski
27062,"Dość mi już ciężył mój smutek, ty jego",Romeo I Julia,ShakespearePaszkowski
27062,Brzemię powiększasz przewyżką twojego;,Romeo I Julia,ShakespearePaszkowski
27062,Współczucie twoje nad mojem cierpieniem,Romeo I Julia,ShakespearePaszkowski
27062,"Nie ulgą, ale nowym jest kamieniem",Romeo I Julia,ShakespearePaszkowski
27062,"Dla mego serca. Miłość, przyjacielu,",Romeo I Julia,ShakespearePaszkowski
27062,"To dym, co z parą westchnień się unosi;",Romeo I Julia,ShakespearePaszkowski
27062,"To żar, co w oku szczęśliwego płonie;",Romeo I Julia,ShakespearePaszkowski
27062,"Morze łez, w którym nieszczęśliwy tonie.",Romeo I Julia,ShakespearePaszkowski
27062,Czemże jest więcej? Istnym amalgamem:,Romeo I Julia,ShakespearePaszkowski
27062,Żółcią trawiącą i zbawczym balsamem.,Romeo I Julia,ShakespearePaszkowski
27062,Bądź zdrów. _(Chce odejść)._,Romeo I Julia,ShakespearePaszkowski
27062,"*Benwolio.*     Zaczekaj! krzywdębyś mi sprawił,",Romeo I Julia,ShakespearePaszkowski
