gutenberg_id,text,title
27081,"I ten wiérsz wraz mi stwardniał, żem wspomniał twe imię.",Sonety XX.
27081,XXI.,remove
27081,DANAIDY.,remove
27081,"Płci piękna! gdzie wiek złoty, gdy za polne kwiaty,",Sonety XXI.
27081,"Za haftowane kłosem majowe sukienki,",Sonety XXI.
27081,"Kupowano panieńskie serduszka i wdzięki,",Sonety XXI.
27081,Gdy do lubéj gołębia posyłano w swaty?,Sonety XXI.
27081,Dzisiaj wieki są tańsze a droższe zapłaty.,Sonety XXI.
27081,"Ta któréj złoto daję, prosi o piosenki;",Sonety XXI.
27081,"Ta któréj serce daję, żądała méj ręki;",Sonety XXI.
27081,"Ta którą opiéwałem, pyta, czym bogaty.",Sonety XXI.
27081,Danaidy! rzucałem w bezdeń waszéj chęci,Sonety XXI.
27081,"Dary, pieśni, i we łzach roztopioną duszę;",Sonety XXI.
27081,"Dziś z hojnego jam skąpy, s czułego szyderca.",Sonety XXI.
27081,"A choć mię dotąd jeszcze nadobna twarz nęci,",Sonety XXI.
27081,"Choć jeszcze was opiéwać i obdarzać muszę,",Sonety XXI.
27081,"Lecz dawniej wszystko dałbym, dziś wszystko--prócz serca.",Sonety XXI.
27081,XXII.,remove
27081,EXKUZA.,remove
27081,"Nuciłem o miłostkach w rówieńników tłumie,",Sonety XXII.
27081,"Jedni mię pochwalili, a drudzy szeptali:",Sonety XXII.
27081,"Ten wieszcz kocha się tylko, męczy się i żali,",Sonety XXII.
27081,"Nic innego nie czuje, lub śpiewać nie umie.",Sonety XXII.
27081,"W dojrzalsze wchodząc lata, przy starszym rozumie,",Sonety XXII.
27081,Czemu serce płomykiem tak dziecinnym pali?,Sonety XXII.
27081,"Czyliż mu na to wieszczy głos bogowie dali,",Sonety XXII.
27081,Aby o sobie tylko w każdéj nucił dumie?,Sonety XXII.
27081,Wielkomyślna przestroga!--wnet z górnemi duchy,Sonety XXII.
27081,"Alcejski chwytam bardon, i strojem Ursyna",Sonety XXII.
27081,"Ledwiem zaczął przegrywać, aż cała drużyna",Sonety XXII.
27081,Rozpiérzchła się unosząc zadziwione słuchy;,Sonety XXII.
27081,Zrywam struny i w Letę ciskam bardon głuchy.,Sonety XXII.
27081,Taki wieszcz jaki słuchacz.,Sonety XXII.
27081,Sonety Krymskie,remove
27081,    Wer den Dichter will verstehen,remove
27081,    Muss in Dichters Lande gehen.,remove
27081,        Göthe im Chuld Nameh,remove
27081,TOWARZYSZOM,remove
27081,PODRÓŻY KRYMSKIEJ,remove
27081,    AUTOR,remove
27081,I.,remove
27081,STEPY AKERMAŃSKIE.,remove
27081,"Wpłynąłem na suchego przestwór Oceanu,",Sonety krymskie I.
27081,"Wóz nurza się w zieloność i jak łódka brodzi,",Sonety krymskie I.
27081,"Śród fali łąk szumiących, śród kwiatów powodzi,",Sonety krymskie I.
27081,Omijam koralowe ostrowy burzanu.,Sonety krymskie I.
27081,"Już mrok zapada, nigdzie drogi ni kurhanu;",Sonety krymskie I.
27081,"Patrzę w niebo, gwiazd szukam, przewodniczek łodzi;",Sonety krymskie I.
27081,Tam zdala błyszczy obłok? tam jutrzenka wschodzi?,Sonety krymskie I.
27081,"To błyszczy Dniestr, to weszła lampa Akermanu.",Sonety krymskie I.
27081,"Stójmy!--jak cicho!--słyszę ciągnące żórawie,",Sonety krymskie I.
27081,Którychby nie dościgły źrenice sokoła;,Sonety krymskie I.
27081,"Słyszę kędy się motyl kołysa na trawie,",Sonety krymskie I.
27081,Kędy wąż śliską piersią dotyka się zioła.,Sonety krymskie I.
27081,"W takiéj ciszy!--tak ucho natężam ciekawie,",Sonety krymskie I.
27081,"Że słyszałbym głos z Litwy,--jedźmy, nikt nie woła.",Sonety krymskie I.
27081,II.,remove
27081,CISZA MORSKA.,remove
27081,_na wysokości Tarkankut._,Sonety krymskie II.
27081,"Już wstążkę pawilonu wiatr zaledwie muśnie,",Sonety krymskie II.
27081,Cichemi gra piersiami rozjaśniona woda;,Sonety krymskie II.
27081,"Jak marząca o szczęściu narzeczona młoda,",Sonety krymskie II.
27081,"Zbudzi się aby westchnąć, i wnet znowu uśnie.",Sonety krymskie II.
27081,"Żagle, nakształt chorągwi gdy wojnę skończono,",Sonety krymskie II.
27081,Drzémią na masztach nagich; okręt lekkim ruchem,Sonety krymskie II.
27081,"Kołysa się, jak gdyby przykuty łańcuchem;",Sonety krymskie II.
27081,"Majtek wytchnął, podróżne rozśmiało się grono.",Sonety krymskie II.
27081,O morze! pośród twoich wesołych żyjątek,Sonety krymskie II.
27081,"Jest polip co śpi na dnie gdy się niebo chmurzy,",Sonety krymskie II.
27081,A na ciszę długimi wywija ramiony.,Sonety krymskie II.
27081,"O myśli! w twojéj głębi jest hydra pamiątek,",Sonety krymskie II.
27081,Co śpi wpośród złych losów i namiętnéj burzy;,Sonety krymskie II.
27081,"A gdy serce spokojne, zatapia w niém szpony.",Sonety krymskie II.
27081,III.,remove
27081,ŻEGLUGA.,remove
27081,"Szum większy, gęściéj morskie snują się straszydła,",Sonety krymskie III.
27081,"Majtek wbiegł na drabinę, gotujcie się dzieci!",Sonety krymskie III.
27081,"Wbiegł, rozciągnął się, zawisł w niewidzialnéj sieci,",Sonety krymskie III.
27081,Jak pająk czatujący na skinienie sidła.,Sonety krymskie III.
27081,"Wiatr!--wiatr!--dąsa się okręt, zrywa się z wędzidła,",Sonety krymskie III.
27081,"Przewala się, nurkuje w pienistéj zamieci,",Sonety krymskie III.
